6.324,98
2.769,46.6
0.758,54.4
4.018,76.4
4.173,50.1
5.752,60.2
7.803,81.5
0.424,71.9
5.217,97.1
5.841,108.2
6.952,68.4
1.097,64
6.963,94.2
5.341,90.4
1.476,55.4
3.624,50
5.737,52.5
7.379,63.8
1.339,31.3
3.358,176
2.973,62.5
2.982,46.8
6.311,90.3
3.381,294.3
3.965,62
7.344,51.8
7.82,101
2.94,237.7
5.309,91.9
2.729,37.7
1.248,24.9
7.437,106.3
1.806,45.5
2.75,249
1.821,42.3
5.118,83
0.99,44.6
3.119,179.4
3.389,210.5
6.289,101.9
3.908,55
2.815,230.7
2.684,258.2
3.036,46.6
5.824,71.1
6.539,72.5
3.248,246.6
1.343,60.9
3.242,302.1
5.996,56.4
7.629,83.4
2.573,297.9
2.748,241.9
5.114,61
0.329,54.3
3.091,264.2
0.492,50.1
8.051,67.6
4.077,36.8
8.006,105.5
5.197,59.5
3.109,228.8
6.52,66.6
2.754,282.2
7.267,94.9
2.943,180.3
6.179,70.6
7.889,92.8
2.952,306.8
3.829,85.1
4.211,57.2
0.855,67.8
0.92,24.5
3.397,287.7
3.829,30.1
7.784,69.8
3.661,227
6.004,85.4
7.673,50.3
3.161,77.9
0.224,54.3
4.945,68.2
5.199,54.3
3.043,291.2
3.117,55.7
1.183,39.5
3.546,242.3
3.511,54.7
3.379,275.5
3.298,204.6
7.672,70.4
3.377,236.5
0.959,60.6
5.835,83.7
3.775,263.2
3.397,198.2
0.35,40.2
7.635,49.3
3.391,171
3.245,84
3.541,266.6
2.915,188.8
7.466,49.9
1.155,80.7
4.429,53.4
1.016,39.7
2.933,52
2.83,225.7
6.895,50.9
1.844,46.1
6.113,52.4
1.49,28.7
7.713,60.8
5.749,47
0.226,65.5
3.26,296.8
5.583,67.9
5.305,74.5
7.937,93.1
3.07,61.5
3.285,268.5
6.785,56.1
3.46,290.6
3.595,27.3
3.911,33.9
8.402,71.2
3.788,268.5
6.848,92.8
3.349,229
1.654,28.6
3.671,240
3.461,250
1.822,65.9
8.146,89.9
2.568,285.8
1.306,51.8
6.381,91
3.486,250.4
2.804,259.8
0.683,55.4
3.77,67.7
7.212,73.6
3.671,236.6
7.224,95.5
4.136,56.2
6.295,61.1
3.158,311.6
3.064,264
3.186,252.7
3.848,61.8
2.802,76.6
3.847,40.5
2.957,75.1
2.937,235.1
3.267,280.2
2.92,234.4
3.629,68.9
5.674,76.5
3.006,42.5
1.413,79.7
0.279,67.3
3.712,40.2
1.74,62.6
5.779,75.3
5.177,62.2
0.578,44.5
6.044,95.2
2.703,216
6.22,75.5
3.837,31
5.877,102.2
3.669,276.2
7.78,81.5
5.511,51.9
1.323,64.4
3.287,305.9
3.632,267.8
3.373,87.4
3.338,205.7
5.937,44.2
5.908,45.3
4.981,60
5.152,53.6
3.447,27.7
5.886,101.3
3.447,49.2
6.544,60.5
3.269,311.4
3.147,292.4
7.213,89.9
5.648,49.6
6.964,95.7
6.829,74.3
5.705,70.9
3.15,171.8
3.489,54.1
0.471,56.3
2.923,187.6
3.478,55.8
3.011,236.4
5.982,84.1
6.181,70.4
3.257,90.3
3.171,266.3
3.869,66
2.725,284.3
3.859,80.8
1.33,42.6
1.911,50.8
2.955,295.7
3.877,57.2
1.346,36
6.365,48.2
0.788,31.4
7.33,40.1
4.225,54.3
8.048,50.7
5.341,57.1
2.898,58.6
3.87,26.6
3.006,274.8
1.422,31.1
8.087,47.6
2.923,292
6.678,81.9
3.147,187.5
7.388,55.7
3.168,281.6
3.336,237.6
5.452,108.1
0.8,79.8
0.705,60.4
0.558,31.3
5.099,79
6.169,81.9
0.821,70.2
6.697,60.3
3.431,63.8
6.096,78.2
7.898,102.7
3.25,197.6
1.479,29.4
1.064,58.4
5.758,74.3
4.975,64.4
6.295,64.3
0.786,32.5
1.911,65.5
3.298,268.6
3.096,224.3
4.992,58.9
3.899,49.6
3.346,220.5
0.863,41.2
0.543,68.4
0.273,50.1
3.565,303.7
5.304,84.7
8.087,67.1
1.058,43.5
7.456,98.4
2.854,243.4
5.408,45.9
0.633,64.3
3.864,33.9
5.584,67.2
1.476,73.6
1.636,78.9
2.902,62.8
1.435,68.4
3.3,35.1
3.534,58.4
4.106,56.1
3.69,80.7
1.292,78.4
4,45.5
0.244,40.2
3.802,35.4
3.181,262.1
2.737,293
0.519,79
3.38,237.1
3.242,264.3
2.878,264.3
5.198,77.2
7.392,99.3
3.38,305.3
5.454,68
0.805,43.7
2.892,73.5
5.963,79.6
2.888,255.6
7.127,100.8
1.681,27.2
4.04,41.5
2.938,32.4
7.429,104.9
6.466,62.6
3.435,76.6
1.29,87.4
3.593,296.1
1.525,63.1
3.64,297.6
3.15,25.8
5.97,49.6
7.909,51.6
2.964,272.5
3.327,259.1
4.332,58.8
7.507,62.5
3.807,281.1
1.936,64.6
7.893,103.4
1.366,83.1
2.945,260.2
6.024,107.8
4.219,56.9
3.54,187.1
3.506,190.1
3.343,83.6
2.906,292.5
8.184,85.8
1.795,35.4
2.645,246.3
3.743,259.8
8.305,70.6
1.697,49.2
3.573,217.1
3.519,207.1
0.708,38.3
2.791,45.2
3.444,191.6
3.784,256.7
